S.No,Date,Samvatsara,Ayana,Rithu,Maasa,Paksha,Thithi,Nakshatra,Yoga,Karana,Sh. Thithi,Raahu,Yamakanda,T End Time,N End Time,Y EndTIme,K EndTIme,Vaasara,Events,Maasa Niyamaka,Sh Thithi End Time,Gulika,SunriseTime,SunsetTime,MoonriseTime,MoonsetTime
25,11-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Ekadashi,Dhanishta,Shubha,Bhava,,,,6:06 AM,11:51 PM,4:08 AM,5:20 PM,Soumyawara,Dashami Anushtana Harivasara starts at 11.43 PM,Kamala-Madhusudana,,,6:24,,,
26,12-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Dwadashi,Shatabhisha,Shukla,Kaulava,,,,6:23 AM,1:37 AM,3:59 AM,6:38 PM,Guruwara,Sarvesham Ekadasi (Varoothini),Kamala-Madhusudana,,,6:23,,,
27,13-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Dwadashi,Purvabhadra,Brahma,Taitila,,,,7:10 AM,2:57 AM,3:27 AM,7:10 AM,Baarghavawara,Paarane before 7.10 AM,Kamala-Madhusudana,,,6:23,,,
28,14-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Trayodashi,Uttarabhadra,Indra,Vanija,,,,7:47 AM,3:46 AM,2:32 AM,7:47 AM,Sthirawara,,Kamala-Madhusudana,,,6:23,,,
29,15-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Chaturdashi,Revati,Vaidhriti,Shakuni,,,,7:50 AM,4:05 AM,1:12 AM,7:50 AM,Baanuwara,Darsha,Kamala-Madhusudana,,,6:22,,,
30,16-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Amavasya,Ashwini,Vishkambha,Nagavan,,,,7:25 AM,3:57 AM,11:30 PM,7:25 AM,Induwara,AmaSoma Vrata Padmaka Yoga,Kamala-Madhusudana,,,6:22,,,
31,17-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Pratipad,Bharani,Priti,Bhava,,,,6:30 AM,3:22 AM,9:26 PM,6:30 AM,Boumawara,,Kamala-Madhusudana,,,6:21,,,
32,18-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Tritiya,Krittika,Ayushman,Taitila,,,,3:29 AM,2:26 AM,7:04 PM,4:20 PM,Soumyawara,,Kamala-Madhusudana,,,6:21,,,
33,19-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Chaturthi,Rohini,Soubhagya,Vanija,,,,1:31 AM,1:13 AM,4:27 PM,2:30 PM,Guruwara,,Kamala-Madhusudana,,,6:21,,,
34,20-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Panchami,Mrigashira,Shobhana,Bhava,,,,11:17 PM,11:44 PM,1:37 PM,12:24 PM,Baarghavawara,,Kamala-Madhusudana,,,6:20,,,
35,21-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Shashti,Ardra,Atiganda,Kaulava,,,,8:56 PM,10:09 PM,10:38 AM,10:07 AM,Sthirawara,,Kamala-Madhusudana,,,6:20,,,
36,22-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Saptami,Punarvasu,Sukarma,Gara,,,,6:30 PM,8:29 PM,7:34 AM,7:44 AM,Baanuwara,,Kamala-Madhusudana,,,6:20,,,
37,23-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Ashtami,Pushya,Sula,Bhava,,,,4:04 PM,6:49 PM,1:25 AM,4:04 PM,Induwara,,Kamala-Madhusudana,,,6:19,,,
38,24-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Navami,Ashlesha,Ganda,Kaulava,,,,1:45 PM,5:17 PM,10:29 PM,1:45 PM,Boumawara,,Kamala-Madhusudana,,,6:19,,,
39,25-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Dasami,Makha,Vriddha,Gara,,,,11:36 AM,3:56 PM,7:43 PM,11:36 AM,Soumyawara,,Kamala-Madhusudana,,,6:19,,,
