S.No,Day of Year,Samvatsara,Ayana,Rithu,Maasa,Paksha,Thithi,Nakshatra,Yoga,Karana,Sh. Thithi,Raahu,Yamakanda,T End Time,N End Time,,,Vaasara,Events,Maasa Niyamaka,Sh Thithi End Time,Gulika,SunriseTime,SunsetTime,MoonriseTime,MoonsetTime
88,164,Hevilambi,Uttarayana,Greeshma,Jyeshta,Krishna,Amavasya,Arthra,Vrudhi,nagavan,Ashada Sukhla Prathama,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,08:42 a.m,01:13 p.m,,,Sthira,,Sri Rama Trivikrama,,,,,,
89,165,Hevilambi,Uttarayana,Greeshma,Ashada,Shukla,Prathama,Punarvasu,Druva,Bava,Dwithiya,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,06:17 a.m Dwithiya 04:06 p.m,02:47 a.m,,,Baanu,,Sri Vrukshakapi Vamana,,,,,,
90,166,Hevilambi,Uttarayana,Greeshma,Ashada,Shukla,Truthiya,Pushya,Vyagadha,Thaithila,Truthiya,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,2:08 p.m,1:35 p.m,,,Indu,,Sri Vrukshakapi Vamana,,,,,,
91,167,Hevilambi,Uttarayana,Greeshma,Ashada,Shukla,Chaturthi,Aslesha,Vajra,Vanik,Chaturthi,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,12:26 a.m,12:07 a.m,,,Bowma,Sri Raghunatha Theerthar (Thirumookadalu),Sri Vrukshakapi Vamana,,,,,,
92,168,Hevilambi,Uttarayana,Greeshma,Ashada,Shukla,Panchami,Maga,Vajra,Bava,Panchami,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,11:06 p.m,12:07 a.m,,,Sowmya,,Sri Vrukshakapi Vamana,,,,,,
93,169,Hevilambi,Uttarayana,Greeshma,Ashada,Shukla,Shasti,Poorvapalguni,Siddha,Koulava,Shasti,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,10:11 p.m,12:00 a.m,,,Guru,,Sri Vrukshakapi Vamana,,,,,,
94,170,Hevilambi,Uttarayana,Greeshma,Ashada,Shukla,Sapthami,Uttarapalguni,Vyathipada,Garaja,Sapthami,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,09:45 p.m,12:20 a.m,,,Baargava,,Sri Vrukshakapi Vamana,,,,,,
95,171,Hevilambi,Uttarayana,Greeshma,Ashada,Shukla,Ashtami,Hastha,Variyan,Badra,Ashtami,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,09:50 p.m,01:11 a.m,,,Sthira,,Sri Vrukshakapi Vamana,,,,,,
96,172,Hevilambi,Uttarayana,Greeshma,Ashada,Shukla,Navami,Sidha,Pariga,Baalava,Navami,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,10:24 p.m,02:31 a.m,,,Baanu,Sri Vidyasindhu Theerthar Aradhane (Sosale),Sri Vrukshakapi Vamana,,,,,,
97,173,Hevilambi,Uttarayana,Greeshma,Ashada,Shukla,Dasami,Swathi,Siva,Thaithila,Dasami,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,11:26 p.m,04:48 p.m,,,Indu,,Sri Vrukshakapi Vamana,,,,,,
98,174,Hevilambi,Uttarayana,Greeshma,Ashada,Shukla,Ekadasi,Visaga,Siddhi,Vanik,-,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,12:54 a.m,Full,,,Bowma,"Prathama Ekadasi (Sayana Ekadasi), Taptha Mudra Dharana , Shaka Vratha Arambha",Sri Vrukshakapi Vamana,,,,,,
99,175,Hevilambi,Uttarayana,Greeshma,Ashada,Shukla,Dwadasi,Visaga,Saadhya,Bava,"Ekadasi, Dwadasi",12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,02:41 a.m,06:25 a.m,,,Sowmya,"Dwadasi - Till 8:36 a.m Harivasara Pancha Kavya Praasanam, Sri Sripathi Theerthar Aradhane (Rayavellore)",Sri Vrukshakapi Vamana,,,,,,
100,176,Hevilambi,Uttarayana,Greeshma,Ashada,Shukla,Trayodasi,Anuradha,Subha,Koulava,Trayodasi,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,04:40 p.m,08:56 a.m,,,Guru,,Sri Vrukshakapi Vamana,,,,,,
101,177,Hevilambi,Uttarayana,Greeshma,Ashada,Shukla,Chaturdasi,Jyeshta,Shukla,Garaja,Chaturdasi,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,Full,11:33 a.m,,,Baargava,,Sri Vrukshakapi Vamana,,,,,,
102,178,Hevilambi,Uttarayana,Greeshma,Ashada,Shukla,Chaturdasi,Moola,Brahma,Vanik,Pournami,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,06:41 a.m,02:08 p.m,,,Sthira,,Sri Vrukshakapi Vamana,,,,,,
103,179,Hevilambi,Uttarayana,Greeshma,Ashada,Shukla,Pournami,Poorvashada,Iyndra,Bava,Krishna Paksha Prathama,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,08:32 a.m,04:30 p.m,,,Baanu,Sri Vyasa Poornima,Sri Vrukshakapi Vamana,,,,,,
104,180,Hevilambi,Uttarayana,Greeshma,Ashada,Krishna,Prathama,Utharashada,Vaidruthi,Koulava,Dwithiya,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,10:04 a.m,06:33 p.m,,,Indu,,Sri Vrukshakapi Vamana,,,,,,
105,181,Hevilambi,Uttarayana,Greeshma,Ashada,Krishna,Dwithiya,Sravana,Vishkamba,Garaja,Truthiya,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,11:11 a.m,08:11 p.m,,,Bowma,,Sri Vrukshakapi Vamana,,,,,,
106,182,Hevilambi,Uttarayana,Greeshma,Ashada,Krishna,Truthiya,Danishta,Preethi,Badra,Chaturthi,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,11:51 a.m,09:20 p.m,,,Sowmya,,Sri Vrukshakapi Vamana,,,,,,
107,183,Hevilambi,Uttarayana,Greeshma,Ashada,Krishna,Chaturthi,Sadabisha,Ayushman,Baala,Panchami,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,12:01 p.m,10:01 p.m,,,Guru,,Sri Vrukshakapi Vamana,,,,,,
108,184,Hevilambi,Uttarayana,Greeshma,Ashada,Krishna,Panchami,Poorvabadra,Sowbagya,Thaithila,Shasti,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,11:40 a.m,10:11 p.m,,,Baargava,Srimath Jayateerthar Aradhane (Teeka Kruthpaathar),Sri Vrukshakapi Vamana,,,,,,
109,185,Hevilambi,Uttarayana,Greeshma,Ashada,Krishna,Shasti,Uttarabadra,Shobana,Vanik,Sapthami,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,10:50 a.m,09:55 p.m,,,Sthira,,Sri Vrukshakapi Vamana,,,,,,
110,186,Hevilambi,Dakshinayana,Greeshma,Ashada,Krishna,Sapthami,Revathi,Sukarma,Bava,Ashtami,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,09:35 a.m,09:14 p.m,,,Baanu,"Kataka Sankramana, Dhakshinayana Punya kaala, Snana tharpana afternoon",Sri Vrukshakapi Vamana,,,,,,
111,187,Hevilambi,Dakshinayana,Greeshma,Ashada,Krishna,Ashtami,Aswini,Druthi,Koulava,Navami,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,07:57 a.m,08:52 p.m,,,Indu,,Sri Vrukshakapi Vamana,,,,,,
112,188,Hevilambi,Dakshinayana,Greeshma,Ashada,Krishna,Dasami,Bharani,Soola,Vanik,Dasami,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,03:44 a.m,06:55 p.m,,,Bowma,,Sri Vrukshakapi Vamana,,,,,,
113,189,Hevilambi,Dakshinayana,Greeshma,Ashada,Krishna,Ekadasi,Kruthika,Kanda,Bava,-,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,01:23 a.m,05:25 p.m,,,Sowmya,"Ekadasi Upavasa, Sri Vidyanidhi Theerthar Aradhane (Sosale)",Sri Vrukshakapi Vamana,,,,,,
114,190,Hevilambi,Dakshinayana,Greeshma,Ashada,Krishna,Dwadasi,Rohini,Vrudhi,Koulava,"Ekadasi, Dwadasi",01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,10:56 p.m,03:47 p.m,,,Guru,"Dwadasi, Harivasara till 07:22 a.m",Sri Vrukshakapi Vamana,,,,,,
115,191,Hevilambi,Dakshinayana,Greeshma,Ashada,Krishna,Trayodasi,Mrugashira,Druva,Garaja,Trayodasi,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,08:28 p.m,02:07 p.m,,,Baargava,,Sri Vrukshakapi Vamana,,,,,,
116,192,Hevilambi,Dakshinayana,Greeshma,Ashada,Krishna,Chaturdasi,Arthra,Vyakadha,Badra,Chaturdasi,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,06:04 p.m,12:29 p.m,,,Sthira,,Sri Vrukshakapi Vamana,,,,,,
117,193,Hevilambi,Dakshinayana,Greeshma,Ashada,Krishna,Amavasya,Punarvasu,Harshana,Nagavan,Amavasya,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,03:49 p.m,10:59 p.m,,,Baanu,"Amavasya - Thila tharpana, Deepasthamba Pooje",Sri Vrukshakapi Vamana,,,,,,
118,194,Hevilambi,Dakshinayana,Varsha,Sravana,Shukla,Prathama,Pushya,Siddhi,Bava,Dwithiya,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,1:47 p.m,9:43 a.m,,,Indu,,Sri Dhanya Sridhara,,,,,,
119,195,Hevilambi,Dakshinayana,Varsha,Sravana,Shukla,Dwithiya,Aslesha,Vyathipada,Koulava,Truthiya,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,12:03 p.m,8:41 a.m,,,Bowma,,Sri Dhanya Sridhara,,,,,,
120,196,Hevilambi,Dakshinayana,Varsha,Sravana,Shukla,Truthiya,Maga,Variyan,Garaja,Chaturthi,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,10:40 a.m,8:01 a.m,,,Sowmya,Naaga Chaturthi,Sri Dhanya Sridhara,,,,,,
121,197,Hevilambi,Dakshinayana,Varsha,Sravana,Shukla,Chaturthi,Poorvapalguni,Variyan,Badra,Panchami,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,9:43 a.m,7:47 a.m,,,Guru,,Sri Dhanya Sridhara,,,,,,
122,198,Hevilambi,Dakshinayana,Varsha,Sravana,Shukla,Panchami,Uttarapalguni,Siva,Baala,Shasti,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,9:14 a.m,8:01 a.m,,,Baargava,"Garuda Panchami, Rig Upakarma",Sri Dhanya Sridhara,,,,,,
123,199,Hevilambi,Dakshinayana,Varsha,Sravana,Shukla,Shasti,Hastha,Siddha,Thaithila,Sapthami,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,9:16 a.m,8:45 a.m,,,Sthira,Sri Vidyapoorna Theertharu Aradhane (Sosale),Sri Dhanya Sridhara,,,,,,
124,200,Hevilambi,Dakshinayana,Varsha,Sravana,Shukla,Sapthami,Siddha,Saadya,Vanik,Ashtami,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,9:50 a.m,9:59 a.m,,,Baanu,Sri Lakshmikantha Theerthar Aradhane (Penugonda),Sri Dhanya Sridhara,,,,,,
125,201,Hevilambi,Dakshinayana,Varsha,Sravana,Shukla,Ashtami,Swathi,Subha,Bava,Navami,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,10:52 a.m,11:41 a.m,,,Indu,,Sri Dhanya Sridhara,,,,,,
126,202,Hevilambi,Dakshinayana,Varsha,Sravana,Shukla,Navami,Visaga,Sukla,Koulava,Dasami,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,12:20 p.m,1:48 p.m,,,Bowma,,Sri Dhanya Sridhara,,,,,,
127,203,Hevilambi,Dakshinayana,Varsha,Sravana,Shukla,Dasami,Anuradha,Brahma,Garaja,Soonya Thithi,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,2:07 p.m,4:13 p.m,,,Sowmya,,Sri Dhanya Sridhara,,,,,,
128,204,Hevilambi,Dakshinayana,Varsha,Sravana,Shukla,Ekadasi,Jyeshta,Iyndra,Badra,-,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,4:06 p.m,6:49 p.m,,,Guru,Ekadasi Upavasa - Dadi Vratha Aramba,Sri Dhanya Sridhara,,,,,,
129,205,Hevilambi,Dakshinayana,Varsha,Sravana,Shukla,Dwadasi,Moola,Vaidruthi,Baala,"Ekadasi, Dwadasi",10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,6:07 p.m,9:24 p.m,,,Baargava,Sri Varamahalakshmi Vratha - Dwadasi,Sri Dhanya Sridhara,,,,,,
130,206,Hevilambi,Dakshinayana,Varsha,Sravana,Shukla,Trayodasi,Poorvashada,Vishkamba,Koulava,Trayodasi,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,7:59 p.m,11:51 p.m,,,Sthira,Sri Lakshminatha Theerthar Aradhane (Srirangam),Sri Dhanya Sridhara,,,,,,
131,207,Hevilambi,Dakshinayana,Varsha,Sravana,Shukla,Chaturdasi,Uttarashada,Preethi,Garaja,Chaturdasi,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,9:33 p.m,1:59 a.m,,,Baanu,,Sri Dhanya Sridhara,,,,,,
132,208,Hevilambi,Dakshinayana,Varsha,Sravana,Shukla,Pournami,Sravana,Ayushman,Badra,Pournami,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,10:43 p.m,3:43 p.m,,,Indu,Poornima Chandra Grahana,Sri Dhanya Sridhara,,,,,,
133,209,Hevilambi,Dakshinayana,Varsha,Sravana,Krishna,Prathama,Danishta,Sowbagya,Baalava,Prathama,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,11:24 p.m,4:59 p.m,,,Bowma,,Sri Dhanya Sridhara,,,,,,
134,210,Hevilambi,Dakshinayana,Varsha,Sravana,Krishna,Dwithiya,Sadabisha,Shoba,Thaithila,Dwithiya,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,11:35 p.m,5:45 a.m,,,Sowmya,Sri Raghavendra Swamigala Aradhane (Mantralaya),Sri Dhanya Sridhara,,,,,,
135,211,Hevilambi,Dakshinayana,Varsha,Sravana,Krishna,Truthiya,Poorvabadra,Athiganda,Vanik,Truthiya,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,11:17 p.m,6:02 a.m,,,Guru,,Sri Dhanya Sridhara,,,,,,
136,212,Hevilambi,Dakshinayana,Varsha,Sravana,Krishna,Chaturthi,Uttarabadra,Sukarma,Bava,Chaturthi,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,10:31 p.m,5:51 a.m,,,Baargava,,Sri Dhanya Sridhara,,,,,,
137,213,Hevilambi,Dakshinayana,Varsha,Sravana,Krishna,Panchami,Revathi,Truthi,kowlava,Panchami,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,9:18 p.m,5:15 a.m,,,Sthira,,Sri Dhanya Sridhara,,,,,,
138,214,Hevilambi,Dakshinayana,Varsha,Sravana,Krishna,Shasti,Aswini,Soola,Garaja,Shasti,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,7:43 p.m,4:17 p.m,,,Baanu,,Sri Dhanya Sridhara,,,,,,
139,215,Hevilambi,Dakshinayana,Varsha,Sravana,Krishna,Sapthami,Barani,Kanda,Badra,Sapthami,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,5:48 p.m,3:03 p.m,,,Indu,"Gokulashtami Upavasa, Pooje, Arghya at night",Sri Dhanya Sridhara,,,,,,
140,216,Hevilambi,Dakshinayana,Varsha,Sravana,Krishna,Ashtami,Kruthika,Vruddhi,Koulava,"Ashtami, Navami",03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,3:38 p.m,1:35 p.m,,,Bowma,Paarane at morning,Sri Dhanya Sridhara,,,,,,
141,217,Hevilambi,Dakshinayana,Varsha,Sravana,Krishna,Navami,Rohini,Vyagadha,Garaja,Dasami,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,1:17 p.m,11:58 p.m,,,Sowmya,,Sri Dhanya Sridhara,,,,,,
142,218,Hevilambi,Dakshinayana,Varsha,Sravana,Krishna,Dasami,Mrugashira,Harshana,Badra,Ekadasi,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,10:51 a.m,10:19 p.m,,,Guru,Simma Sankramana - Tharpana after 8:56 a.m,Sri Dhanya Sridhara,,,,,,
143,219,Hevilambi,Dakshinayana,Varsha,Sravana,Krishna,Ekadasi,Ardhra,Vajra,Baala,-,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,8:22 a.m,8:41 p.m,,,Baargava,Ekadasi Upavasa,Sri Dhanya Sridhara,,,,,,
144,220,Hevilambi,Dakshinayana,Varsha,Sravana,Krishna,Trayodasi,Punarvasu,Siddhi,Garaja,"Ekadasi, Dwadasi, Trayodasi",09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,3:22 p.m,7:10 p.m,,,Sthira,,Sri Dhanya Sridhara,,,,,,
145,221,Hevilambi,Dakshinayana,Varsha,Sravana,Krishna,Chaturdasi,Pushya,Vyathipada,Badra,Chaturdasi,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,1:45 a.m,5:49 p.m,,,Baanu,,Sri Dhanya Sridhara,,,,,,
146,222,Hevilambi,Dakshinayana,Varsha,Sravana,Krishna,Amavasya,Aslesha,Variyan,Chatushpada,Amavasya,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,12:02 a.m,4:44 p.m,,,Indu,Amavasya Thila Tharpana,Sri Dhanya Sridhara,,,,,,
147,223,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Prathama,Maga,Pariga,Kimsthugna,Prathama,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,12:56 a.m,4:00 p.m,,,Bowma,,Sri Buddhi Hrishikesha,,,,,,
148,224,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Dwithiya,Poorvapalguni,Siddha,Baala,Dwithiya,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,9:43 p.m,3:40 p.m,,,Sowmya,,Sri Buddhi Hrishikesha,,,,,,
149,225,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Truthiya,Uttarapalguni,Saadya,Thaithila,Truthiya,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,9:13 p.m,3:46 p.m,,,Guru,Swarna Gowri Vratha,Sri Buddhi Hrishikesha,,,,,,
150,226,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Chaturthi,Hastha,Subha,Vanik,Chaturthi,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,9:14 p.m,4:22 p.m,,,Baargava,"Varasiddhi Vinayaka Vratha , Saamaveda Upakarma",Sri Buddhi Hrishikesha,,,,,,
151,227,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Panchami,Siddha,Sukla,Bava,Panchami,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,9:46 p.m,5:28 p.m,,,Sthira,"Rishipanchami, Sri Vidyavaridhi Theerthar Aradhane (Srirangam)",Sri Buddhi Hrishikesha,,,,,,
152,228,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Shasti,Swathi,Brahma,Koulava,Shashti,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,10:47 p.m,7:04 p.m,,,Baanu,,Sri Buddhi Hrishikesha,,,,,,
153,229,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Sapthami,Visaga,Iyndra,Garaja,Sapthami,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,12:13 a.m,9:04 p.m,,,Indu,,Sri Buddhi Hrishikesha,,,,,,
154,230,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Ashtami,Anuradha,Vaidruthi,Badra,Ashtami,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,2:01 a.m,11:25 p.m,,,Bowma,,Sri Buddhi Hrishikesha,,,,,,
155,231,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Navami,Jyeshta,Vishkamba,Baala,Navami,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,4:00 a.m,1:58 a.m,,,Sowmya,Sri Jagannatha Dasaru Aradhane (Manavi),Sri Buddhi Hrishikesha,,,,,,
156,232,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Dasami,Moola,Preethi,Thaithila,Dasami,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,6:01 a.m,4:33 a.m,,,Guru,,Sri Buddhi Hrishikesha,,,,,,
157,233,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Ekadasi,Poorvashada,Ayushman,Vanik,Ekadasi,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,Full,Full,,,Baargava,,Sri Buddhi Hrishikesha,,,,,,
158,234,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Ekadasi,Poorvashada,Sowbagya,Badra,-,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,7:58a.m,7:05 a.m,,,Sthira,Ekadasi Upavasa - Ksheera Vratha Arambha,Sri Buddhi Hrishikesha,,,,,,
159,235,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Dwadasi,Utharashada,Shobana,Baala,"Dwadasi, Trayodasi",04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,9:35 a.m,9:18 a.m,,,Baanu,,Sri Buddhi Hrishikesha,,,,,,
160,236,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Trayodasi,Sravana,Athiganda,Thaithila,Chaturdasi,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,10:47 a.m,11:07 a.m,,,Indu,,Sri Buddhi Hrishikesha,,,,,,
161,237,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Chaturdasi,Danishta,Sukarma,Vanik,Pournami,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,11:33 a.m,12:29 p.m,,,Bowma,Anantapadmanabha Vratha,Sri Buddhi Hrishikesha,,,,,,
162,238,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Shukla,Pournami,Sadabisha,Druthi,Bava,Krishna Paksha Prathama,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,11:47 a.m,1:22 p.m,,,Sowmya,"Yajur Upakarma, Mahalaya Paksha Arambha",Sri Buddhi Hrishikesha,,,,,,
163,239,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Krishna,Prathama,Poorvabadra,Soola,Koulava,Dwithiya,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,11:32 a.m,1:45 p.m,,,Guru,,Sri Buddhi Hrishikesha,,,,,,
164,240,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Krishna,Dwithiya,Uttarabadra,Kanda,Garaja,Truthiya,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,10:48 a.m,1:40 p.m,,,Baargava,,Sri Buddhi Hrishikesha,,,,,,
165,241,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Krishna,Truthiya,Revathi,Vruddhi,Badra,Chaturthi,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,9:38 a.m,01:10 p.m,,,Sthira,,Sri Buddhi Hrishikesha,,,,,,
166,242,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Krishna,Chaturthi,Aswini,Druva,Baala,Panchami,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,8:04 a.m,12:23 p.m,,,Baanu,Mahabharani,Sri Buddhi Hrishikesha,,,,,,
167,243,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Krishna,Shasti,Barani,Vyagadha,Garaja,Shashti,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,3:58 a.m,11:05 p.m,,,Indu,,Sri Buddhi Hrishikesha,,,,,,
168,244,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Krishna,Sapthami,Kruthika,Harshana,Badra,Sapthami,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,1:39 a.m,9:39 p.m,,,Bowma,,Sri Buddhi Hrishikesha,,,,,,
169,245,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Krishna,Ashtami,Rohini,Vajra,Baala,Ashtami,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,11:14 p.m,8:04 a.m,,,Sowmya,Madhyashtami,Sri Buddhi Hrishikesha,,,,,,
170,246,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Krishna,Navami,Mrugashira,Vyathipada,Thaithila,Navami,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,8:52 p.m,6:20 a.m Arthra 4:50 p.m,,,Guru,,Sri Buddhi Hrishikesha,,,,,,
171,247,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Krishna,Dasami,Punarvasu,Variyan,Vanik,Dasami,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,6:35 p.m,3:18 p.m,,,Baargava,Sri Vidya Payonidhi Theerthar Aradhane (Thirumukoodalu),Sri Buddhi Hrishikesha,,,,,,
172,248,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Krishna,Ekadasi,Pushya,Pariga,Baala,-,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,4:20 p.m,1:54 p.m,,,Sthira,Ekadasi Upavasa,Sri Buddhi Hrishikesha,,,,,,
173,249,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Krishna,Dwadasi,Aslesha,Siva,Thaithila,"Ekadasi, Dwadasi, Trayodasi",04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,2:17 p.m,12:41 a.m,,,Baanu,Kanya Sankramana - Kaliyugadhi,Sri Buddhi Hrishikesha,,,,,,
174,250,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Krishna,Trayodasi,Maga,Siddha,Vanik,Chaturdasi,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,12:27 p.m,11:50 p.m,,,Indu,,Sri Buddhi Hrishikesha,,,,,,
175,251,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Krishna,Chaturdasi,Poorvapalguni,Saadhya,Saguni,Amavasya,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,11:05 a.m,11:23 p.m,,,Bowma,Mahalaya Amavasya - Thilatharpana,Sri Buddhi Hrishikesha,,,,,,
176,252,Hevilambi,Dakshinayana,Varsha,Bhadrapada,Krishna,Amavasya,Uttarapalguni,Subha,Nagavan,Aswija Shukla Prathama,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,10:08 a.m,11:24 p.m,,,Sowmya,Sri Madhava Theerthar Aradhane (Manoor),Sri Buddhi Hrishikesha,,,,,,
177,253,Hevilambi,Dakshinayana,Sarath,Aswija,Shukla,Prathama,Hastha,Sukla,Bava,Dwithiya,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,9:39 a.m,11:53 p.m,,,Guru,Navarathri Arambha,Sri Yagna Padmanabha,,,,,,
178,254,Hevilambi,Dakshinayana,Sarath,Aswija,Shukla,Dwithiya,Siddha,Brahma,kowlava,Truthiya,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,9:41 a.m,12:52 p.m,,,Baargava,,Sri Yagna Padmanabha,,,,,,
