S.No,Day of Year,Samvatsara,Ayana,Rithu,Maasa,Paksha,Thithi,Nakshatra,Yoga,Karana,Sh. Thithi,Raahu,Yamakanda,T End Time,N End Time,,,Vaasara,Events,Maasa Niyamaka,Sh Thithi End Time,Gulika,SunriseTime,SunsetTime,MoonriseTime,MoonsetTime
21,97,Vilambi,Uttarayana,Vasantha,Chaitra,Krishna,SAPTAMI,MULA,PARIGHA,_BHADRA,SAPTAMI,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,10:14 p.m,06:21 p.m,,,Sthira,,Sri Padmini Vishnu,,,,,,
22,98,Vilambi,Uttarayana,Vasantha,Chaitra,Krishna,ASHTAMI,PURVASADHA,SIVA,_BALAVA,ASHTAMI,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,11:20 p.m,08:06 p.m,,,Baanu,,Sri Padmini Vishnu,,,,,,
23,99,Vilambi,Uttarayana,Vasantha,Chaitra,Krishna,NAVAMI,UTRASADHA,SIDDHA,_THYTULA,NAVAMI,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,11:57 p.m,09:25 p.m,,,Indu,,Sri Padmini Vishnu,,,,,,
24,100,Vilambi,Uttarayana,Vasantha,Chaitra,Krishna,DASAMI,SRAVANA,SADHYA,_VANIJA,DASAMI,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,12:04 a.m,10:33 p.m,,,Bowma,,Sri Padmini Vishnu,,,,,,
25,101,Vilambi,Uttarayana,Vasantha,Chaitra,Krishna,EKADASI,DHANISTA,SUBHA,_BHAVA,EKADASI,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,11:40 p.m,10:33 p.m,,,Sowmya,Dashami Anushtana Harivasara starts at 11.43 PM,Sri Padmini Vishnu,,,,,,
26,102,Vilambi,Uttarayana,Vasantha,Chaitra,Krishna,DWADASI,SHATABISHA,SUKLA,_COWLAVA,DWADASI,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,10:40 p.m,10:23 p.m,,,Guru,Sarvesham Ekadasi (Varoothini),Sri Padmini Vishnu,,,,,,
27,103,Vilambi,Uttarayana,Vasantha,Chaitra,Krishna,DWADASI,PURVABADRA,BRAHMA,_THYTULA,DWADASI,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,09:30 p.m,09:49 p.m,,,Baargava,Paarane before 7.10 AM,Sri Padmini Vishnu,,,,,,
28,104,Vilambi,Uttarayana,Vasantha,Chaitra,Krishna,TRAYODASI,UTRABADRA,INDRA,_VANIJA,TRAYODASI,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,07:50 p.m,08:53 p.m,,,Sthira,,Sri Padmini Vishnu,,,,,,
29,105,Vilambi,Uttarayana,Vasantha,Chaitra,Krishna,CHATURDASI,REVATI,VAIDHRITI ,_SHAKUNI,CHATURDASI,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,05:33 p.m,07:40 p.m,,,Baanu,Darsha,Sri Padmini Vishnu,,,,,,
30,106,Vilambi,Uttarayana,Vasantha,Chaitra,Shukla,AMAVSYA,ASWINI,VISUMBA,_NAGAVAN,AMAVSYA,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,03:41 p.m,06:13 p.m,,,Indu,AmaSoma Vrata Padmaka Yoga,Sri Kamalalya Madhusudhana,,,,,,
31,107,Hevilambi,Uttarayana,Vasantha,Vaishakha,Shukla,Dwithiya,Kruthika,Sowbagya,Koulava,Truthiya,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,01:19 p.m,04:36 p.m,,,Baargava,,Sri Kamalalya Madhusudhana,,,,,,
