S.No,DATE,samvatsara,ayana,ritu,masa,paksha,TITHI  ,NAKSHTRA,YOGA,KARNA,Sh. Thithi,Raahu,Yamaganda,TITHI end time,NAKSHATRA END TIME,YOGA END TIME,KARANA END TIME,DAY,Events,masaniyamaka,S.Thithi End Time,Gulika,SUNRISE,SunSet,MoonRise,MoonSet
19,05-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Panchami,Anuradha,Vyatipata,Taitila,,,,7:01 PM,9:34 AM,1:33 AM,7:01 PM,Guruvara,,Kamala-Madhusudana,,,6:26,,,
20,06-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Shashti,Jyeshta,Variyan,Gara,,,,8:39 PM,11:37 AM,1:51 AM,7:48 AM,Shukravara,,Kamala-Madhusudana,,,6:25,,,
21,07-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Saptami,Moola,Parigha,Bhadra,,,,10:35 PM,2:01 PM,2:22 AM,9:37 AM,Shanivara,,Kamala-Madhusudana,,,6:25,,,
22,08-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Ashtami,Purvashadha,Shiva,Balava,,,,12:41 AM,4:36 PM,2:59 AM,11:38 AM,Ravivara,,Kamala-Madhusudana,,,6:25,,,
23,09-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Navami,Uttarashadha,Siddha,Taitila,,,,2:43 AM,7:12 PM,3:32 AM,1:42 PM,Somavara,,Kamala-Madhusudana,,,6:24,,,
24,10-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Dasami,Sharavana,Sadhya,Vanija,,,,4:34 AM,9:40 PM,3:58 AM,3:39 PM,Mangalavara,,Kamala-Madhusudana,,,6:24,,,
25,11-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Ekadashi,Dhanishta,Shubha,Bhava,,,,6:06 AM,11:51 PM,4:08 AM,5:20 PM,Budhavara,,Kamala-Madhusudana,,,6:24,,,
26,12-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Dwadashi,Shatabhisha,Shukla,Kaulava,,,,6:23 AM,1:37 AM,3:59 AM,6:38 PM,Guruvara,,Kamala-Madhusudana,,,6:23,,,
27,13-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Dwadashi,Purvabhadra,Brahma,Taitila,,,,7:10 AM,2:57 AM,3:27 AM,7:10 AM,Shukravara,,Kamala-Madhusudana,,,6:23,,,
28,14-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Trayodashi,Uttarabhadra,Indra,Vanija,,,,7:47 AM,3:46 AM,2:32 AM,7:47 AM,Shanivara,,Kamala-Madhusudana,,,6:23,,,
